Clave,Valor
Total de mensajes,9
Promedio de longitud,15.00
Mensaje m치s largo,excelente trabajo equipo
Longitud mensaje m치s largo,24
Mensaje m치s corto,
Longitud mensaje m치s corto,0
Palabra frecuente #1,1375780701147889738 (1 veces)
Palabra frecuente #2,buenas (1 veces)
Palabra frecuente #3,tardes (1 veces)
Palabra frecuente #4,tal (1 veces)
Palabra frecuente #5,estais (1 veces)
Palabra frecuente #6,chicos (1 veces)
Palabra frecuente #7,esto (1 veces)
Palabra frecuente #8,porquera (1 veces)
Palabra frecuente #9,horrible (1 veces)
Palabra frecuente #10,experiencia (1 veces)
